"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0334221	-0.0251363	-0.158885	0.00129204	-0.00097753	-0.00065804	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0518788305	0.0101373468	0.0043743337	-0.0388466987	0.0172570851	0.0551137745	0.026382758	-0.028770173	0.0109775182	0.0167440363	0	0	0	0	0	0
-0.0544138	-0.00696229	-0.115315	0.000975123	-0.000875827	-0.0010381	-0.0209917	0.01817401	0.04357	-0.000316917	0.000101703	-0.00038006	0.12266971	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0517523017	0.008410646	-0.0065461731	-0.030923712	0.0077052282	0.0321499315	0.016892075	-0.0136232997	-0.0173739784	0.0296294501	0	0	0	0	0	0
-0.0544068	-0.0344888	-0.11066	0.000934266	-0.000673713	-0.00065804	7.000000000007e-06	-0.02752651	0.00465500000000002	-4.08569999999999e-05	0.000202114	0.00038006	0.06334006	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0548684087	0.0040967198	-0.0003911857	-0.0443230228	0.006154432	0.020850492	-0.0258939702	-2.64655e-05	-0.024915891	0.0254989324	0	0	0	0	0	0
-0.0544505	0.0101434	-0.138323	0.00103339	-0.000947268	-0.00076647	-4.37000000000007e-05	0.0446322	-0.027663	9.91239999999998e-05	-0.000273555	-0.00010843	0.09639435	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0610821732	0.0058787598	-0.00182937	-0.0126234997	0.0002807083	0.015965051	-0.0042024149	0.0178982408	0.0090543328	0.0438738947	0	0	0	0	0	0
-0.0569005	-0.0288868	-0.110433	0.000569623	-0.000531386	-0.00065804	-0.00245	-0.0390302	0.02789	-0.000463767	0.000415882	0.00010843	0.11877415	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0530029964	0.0065706379	0.008217121	-0.0459270585	-0.0116786576	0.0116817105	-0.0077882084	0.0057369444	-0.0630087222	0.0361621671	0	0	0	0	0	0
-0.0361367	-0.0177825	-0.169393	0.000634402	-0.000531386	-0.000527054	0.0207638	0.0111043	-0.05896	6.47789999999999e-05	0	0.000130986	0.10061635	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.0087674366	0.0191556266	0.0489484568	-0.0437111612	0.0193937076	0.0229548477	-0.0160565774	0.0413253082	0.0109624105	0.0402909087	0	0	0	0	0	0
-0.0361347	-0.0167827	-0.0866307	-5.90156e-05	-0.000531386	-0.00052973	1.99999999999506e-06	0.000999799999999999	0.0827623	-0.0006934176	0	-2.67599999999996e-06	0.11856878	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	0.0144401862	0.0454611582	-0.0032407035	-0.0365419393	0.043688583	0.0320419249	0.0597848396	-0.0041904797	-0.0413568807	-0.0296219404	0	0	0	0	0	0
-0.00747781	-0.0476651	-0.0961567	0.000355723	-6.67767e-05	-8.34035e-05	0.02865689	-0.0308824	-0.00952599999999999	0.0004147386	0.0004646093	0.0004463265	0.13534901	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0180315013	0.0192656031	-0.0148309845	-0.0065147428	0.0149414747	0.0196549864	-0.0266772544	0.0162078507	-0.0068220591	-0.0134561157	0	0	0	0	0	0
-0.0197398	-0.00565901	-0.0717765	0.000234579	-0.000531387	-0.000573221	-0.01226199	0.04200609	0.0243802	-0.000121144	-0.0004646103	-0.0004898175	0.13242687	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0514199864	-0.0052377139	-0.0118791605	0.018050074	-0.0051161495	-0.0213621225	0.0016631272	0.0173740261	0.0058978905	0.010329471	0	0	0	0	0	0
-0.0309206	-0.0601675	-0.0186722	0.000181086	-0.000369582	-0.00065804	-0.0111808	-0.05450849	0.0531043	-5.3493e-05	0.000161805	-8.48190000000001e-05	0.13379944	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0474980158	-0.0211809504	0.004426312	0.0405465962	-0.0271056685	-0.0292372859	-0.0207555858	-0.0008155003	-0.0123498577	0.0125194401	0	0	0	0	0	0
