"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0608761	-0.0359795	0.117058	-0.00244594	0.00124453	-0.00105098	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0230596508	0.046738411	-0.0035099719	-0.0095857605	0.03252834	0.0115396727	-0.0491415456	-0.0636094919	-0.1510554638	0.0378152361	0	0	0	0
-0.0544631	-0.087006	0.108457	-0.000880049	0.00097182	-0.000651547	0.006413	-0.0510265	-0.008601	0.001565891	-0.00027271	0.000399433	0.1779422	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0071775623	0.002296998	-0.0022231727	0.0395819737	0.001669977	-0.0269215931	0.0038961527	-0.0437769291	-0.062376969	-0.0328753387	0	0	0	0
-0.0425613	-0.0417933	0.122822	-0.00132658	0.000786668	-0.000969577	0.0119018	0.0452127	0.014365	-0.000446531	-0.000185152	-0.00031803	0.11896515	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0213777481	0.0002102342	0.010910809	0.040670774	-0.0114262064	-0.0237929395	0.0303982805	-0.0267642077	0.0093247372	-0.0107400735	0	0	0	0
-0.0383908	-0.0608428	0.156074	-0.00095216	0.000839576	-0.000651548	0.0041705	-0.0190495	0.033252	0.00037442	5.29079999999997e-05	0.000318029	0.09373985	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0141564929	-0.0621217846	0.00871374	0.0552319477	-0.0509190168	-0.0542190202	0.0563093715	0.0432670431	0.0498418486	-0.042460919	0	0	0	0
-0.0335823	-0.0368294	0.12948	-0.00163999	0.00097649	-0.000781106	0.0048085	0.0240134	-0.026594	-0.00068783	0.000136914	-0.000129558	0.103131	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0351136629	-0.0138897413	-0.0131819826	-0.0149340252	-0.076222472	-0.0625313584	-0.0041700145	-0.0015632704	0.0278071398	-0.0518585293	0	0	0	0
-0.0656827	-0.0905159	0.0822688	-0.00115026	0.000569619	-0.00111316	-0.0321004	-0.0536865	-0.0472112	0.00048973	-0.000406871	-0.000332054	0.19443085	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.015131284	0.048390442	-0.0050479009	-0.0297518069	-0.0212752441	-0.0139072663	-0.0087740791	0.0126229083	-0.0398109685	-0.008343463	0	0	0	0
-0.0663409	-0.00471481	0.106815	-0.00181345	0.000376304	-0.00107291	-0.000658199999999998	0.08580109	0.0245462	-0.00066319	-0.000193315	4.02499999999999e-05	0.15584324	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0487533848	0.0147010886	0.0279646487	-0.0349855771	0.0549498885	-0.014934088	-0.0403841871	-0.0247625673	0.0092841703	-0.0069131936	0	0	0	0
-0.0564022	-0.0581602	0.0783032	-0.00104502	0.000321339	-0.000735169	0.0099387	-0.05344539	-0.0285118	0.00076843	-5.4965e-05	0.000337741	0.14995269	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0003394636	-0.0160456193	0.0118409932	0.0183343475	0.0182851305	-0.0028507111	0.015721263	0.0002078423	0.0284229066	0.0076370085	0	0	0	0
-0.0423349	-0.00943507	0.103081	-0.00139126	0.000302528	-0.000651547	0.0140673	0.04872513	0.0247778	-0.00034624	-1.8811e-05	8.3622e-05	0.11000388	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0180847515	-0.0399270865	0.0255921834	-0.0041013336	0.0017959726	-0.0259153996	0.0218848474	-0.0142228757	0.0616038621	0.0220333086	0	0	0	0
-0.0503522	-0.0637699	0.0597181	-0.00112395	0.000230669	-0.000651547	-0.0080173	-0.05433483	-0.0433629	0.00026731	-7.1859e-05	0	0.12267348	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	0.0212951359	-0.0478289497	-0.0050605403	0.0068723539	-0.0677225238	-0.0089758767	0.0386329496	0.0066835685	0.0390222527	-0.0051354617	0	0	0	0
-0.0362969	-0.00886823	0.070932	-0.00151308	0.000348058	-0.000651548	0.0140553	0.05490167	0.0112139	-0.00038913	0.000117389	-1.00000000012417e-09	0.10549687	0.052324667	0.0521639377	0.051896421	0.0515226647	0.051043434	0.0504597097	0.049772687	0.0489837722	0.0480945804	0.0471069319	0.0460228486	0.0448445497	0.0435744473	0.0422151417	0.0407694154	0.0392402281	0.0376307102	0.0359441567	0.0341840202	0.032353904	0.0304575546	-0.0231400181	0.0380967926	0.0006792359	-0.0375603529	-0.0417176013	-0.0273368068	-0.02775886	-0.0041983533	-0.0059648735	-0.0030561172	0	0	0	0
-0.050372	-0.0671354	0.0351345	-0.000289998	0.000195891	-0.000651548	-0.0140751	-0.05826717	-0.0357975	0.001223082	-0.000152167	0	0.17690222	0.0523139709	0.0521212014	0.0518004449	0.051352489	0.0507784337	0.0500796887	0.0492579697	0.0483152946	0.0472539781	0.0460766263	0.0447861304	0.0433856593	0.0418786518	0.0402688086	0.0385600826	0.0367566699	0.0348629988	0.0328837193	0.0308236917	0.0286879745	0.0264818121	0.0245445603	0.0262970019	-0.0012055916	0.0350271958	0.0262151925	0.0345297235	-0.0006874447	0.019628852	-0.009829877	0.0268891636	0	0	0	0
-0.0464671	0.00269876	0.0649299	-0.00125137	0.000309293	-0.000811718	0.0039049	0.06983416	0.0297954	-0.000961372	0.000113402	-0.00016017	0.16528166	0.0523023033	0.0520745933	0.0516958108	0.0511670547	0.0504898588	0.0496661877	0.0486984311	0.0475893965	0.0463423012	0.0449607632	0.0434487905	0.0418107693	0.0400514517	0.0381759417	0.0361896802	0.0340984296	0.0319082567	0.0296255153	0.027256828	0.0248090665	0.0222893319	-0.0235966039	-0.0055546188	0.0351646047	-0.0053202174	0.0272115477	-0.0150726497	-0.0209255744	-0.0067380919	0.0010446012	-0.027891582	0	0	0	0
-0.034988	-0.0624411	0.0119058	-0.000531185	0.000350271	-0.000273737	0.0114791	-0.06513986	-0.0530241	0.000720185	4.0978e-05	0.000537981	0.19460026	0.0522896643	0.0520241169	0.0515825363	0.0509664168	0.050177843	0.0492194833	0.0480945804	0.0468069407	0.0453609212	0.0437614146	0.0420138333	0.0401240904	0.0380985803	0.0359441567	0.0336681095	0.03127814	0.0287823352	0.02618914	0.0235073292	0.0207459769	0.0179144269	0.0472838911	-0.0445799137	-0.0131394787	0.0224740968	0.0011348019	0.0467661837	0.0581589519	-0.0230543968	0.0457567131	0.0874840785	0	0	0	0
-0.0276494	-0.0500413	-0.0290647	-0.000492957	0.000164784	-0.000158388	0.00733859999999999	0.0123998	-0.0409705	3.82280000000001e-05	-0.000185487	0.000115349	0.0776621	0.0522760543	0.0519697758	0.0514606403	0.050750635	0.0498425313	0.048739874	0.047446967	0.0459688572	0.044311314	0.0424808075	0.0404844828	0.0383301323	0.0360261653	0.0335815749	0.0310059033	0.0283092043	0.0255020041	0.0225952602	0.0196003187	0.01652887	0.013392903	0.0545623151	0.0149904353	-0.035645029	-0.0030675597	-0.0370149353	0.0251059655	0.0694258952	0.0046726031	-0.0017956176	-0.0496476854	0	0	0	0
-0.0279865	-0.00169578	-0.0115248	-0.000603202	0.000350271	-0.000335594	-0.000337099999999996	0.04834552	0.0175399	-0.000110245	0.000185487	-0.000177206	0.08986942	0.0522614734	0.0519115742	0.0513301431	0.0505197734	0.0494840794	0.0482276804	0.0467561802	0.0450761418	0.0431950583	0.0411213197	0.0388641751	0.0364336915	0.0338407093	0.0310967934	0.028214182	0.0252057321	0.0220848615	0.0188654898	0.0155619757	0.0121890533	0.0087617663	0.0238504899	0.0179309533	0.0059227229	0.037015206	0.043088841	0.0323292666	0.0201391532	-0.0118240462	-0.016972115	0.0348575998	0	0	0	0
