"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0	-4.53409e-09	0.00206024	-7.03538e-05	0	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-3.62297e-05	-0.0535922	0.0434869	0.000593087	0.000199904	0.000409144	-3.62297e-05	-0.05359219546591	0.04142666	0.0006634408	0.000199904	0.000409144	0.15867952516591	0.0524141198	0.0524137538	0.0524131437	0.0524122897	0.0524111916	0.0524098495	0.0524082634	0.0524064334	0.0524043593	0.0524020413	0.0523994793	0.0523966733	0.0523936235	0.0523903296	0.0523867919	0.0523830103	0.0523789848	0.0523747155	0.0523702023	0.0523654453	0.0523604445	-0.0051191443	0.0018381301	-0.0318859766	0.0246451981	-0.0201026669	0.0211906748	0.0240656371	0.0148191028	0.0214876412	0.0016641529	0	0	0	0	0	0	0	0	0	0	0
0.00636358	-0.0536092	0.0286684	0.000660304	0.00013734	0.000153441	0.0063998097	-1.69999999999962e-05	-0.0148185	6.72169999999999e-05	-6.2564e-05	-0.000255703	0.0405095097	0.0524131437	0.0524098495	0.0524043593	0.0523966733	0.0523867919	0.0523747155	0.0523604445	0.0523439796	0.0523253215	0.052304471	0.0522814288	0.052256196	0.0522287737	0.052199163	0.0521673651	0.0521333814	0.0520972133	0.0520588623	0.05201833	0.0519756181	0.0519307284	-0.003165335	-0.0043088651	0.03874043	-0.0158038826	-0.0312504739	0.0127786966	0.0075662854	0.0023627872	-0.028003734	-0.0103134243	0	0	0	0	0	0	0	0	0	0	0
-7.59141e-06	-0.0148019	0.0516796	8.96684e-05	0.00013734	-0.000274463	-0.00637117141	0.0388073	0.0230112	-0.0005706356	0	-0.000427904	0.11811665141	0.0524111916	0.0524020413	0.0523867919	0.0523654453	0.0523380039	0.052304471	0.0522648503	0.0522191466	0.0521673651	0.052109512	0.0520455938	0.0519756181	0.051899593	0.0518175273	0.0517294306	0.0516353132	0.051535186	0.0514290606	0.0513169495	0.0511988656	0.0510748227	-0.0057857847	0.0452399167	0.0345177362	0.0142182212	0.0093334427	0.0114431158	0.0096720276	0.0116151801	-0.0260241603	-0.0053813617	0	0	0	0	0	0	0	0	0	0	0
-0.0179576	-0.0626085	0.0627466	0.000593087	0.000373695	-0.000274463	-0.01795000859	-0.0478066	0.011067	0.0005034186	0.000236355	0	0.11381228859	0.0524082634	0.0523903296	0.0523604445	0.0523186149	0.0522648503	0.052199163	0.052121568	0.052032083	0.0519307284	0.0518175273	0.0516925056	0.0515556917	0.0514071169	0.051246815	0.0510748227	0.0508911792	0.0506959264	0.0504891087	0.0502707735	0.0500409704	0.0497997519	-0.0001826803	0.0382812731	-0.0096152233	0.0201518798	0.029851983	-0.0010334697	-0.0009933141	0.0229964697	0.0042087983	0.0122331341	0	0	0	0	0	0	0	0	0	0	0
0.00233748	-0.049452	0.013046	0.000454725	0.000365714	-0.000274463	0.02029508	0.0131565	-0.0497006	-0.000138362	-7.981e-06	0	0.09046933	0.0524043593	0.0523747155	0.0523253215	0.052256196	0.0521673651	0.0520588623	0.0519307284	0.0517830118	0.0516157682	0.0514290606	0.0512229596	0.0509975427	0.050752895	0.0504891087	0.0502062834	0.0499045256	0.0495839492	0.049244675	0.048886831	0.0485105521	0.0481159803	-0.0068432311	-0.0457368121	-0.0341111252	-0.0465870186	0.0310250984	0.0111890725	-0.009285802	-0.062269557	0.0444288474	0.0080305251	0	0	0	0	0	0	0	0	0	0	0
0.0090791	-0.00351343	0.0711691	8.83109e-06	0.000365714	-0.000116591	0.00674162	0.04593857	0.0581231	-0.00044589391	0	0.000157872	0.1409915855	0.0523994793	0.0523552	0.0522814288	0.0521782074	0.0520455938	0.0518836628	0.0516925056	0.0514722298	0.0512229596	0.0509448353	0.0506380137	0.0503026675	0.0499389857	0.0495471731	0.0491274505	0.0486800542	0.0482052363	0.0477032642	0.0471744208	0.0466190039	0.0460373263	0.001003692	-0.0283737713	-0.0274582209	5.58197e-05	0.0005450767	-0.0087784018	-0.0062058931	-0.005299808	0.0185916126	0.0368159068	0	0	0	0	0	0	0	0	0	0	0
0.00406746	-0.0645605	0.0657059	0.000660534	0.000729986	-0.000239392	-0.00501164	-0.06104707	-0.0054632	0.00065170291	0.000364272	-0.000122801	0.1284607055	0.0523936235	0.0523317845	0.0522287737	0.0520846721	0.051899593	0.051673682	0.0514071169	0.0511001074	0.050752895	0.0503657529	0.0499389857	0.0494729291	0.0489679499	0.0484244452	0.0478428428	0.0472236001	0.0465672044	0.0458741721	0.0451450484	0.0443804069	0.0435808493	0.0018329881	-0.0109977061	0.0251328024	0.0221516826	-0.020742704	-0.0094450748	-0.0095352942	0.0061590405	-0.0302373725	-0.014720171	0	0	0	0	0	0	0	0	0	0	0
0.00818521	-0.0170615	0.0581267	-0.000241109	0.000450907	-0.000552398	0.00411775	0.047499	-0.0075792	-0.000901643	-0.000279079	-0.000313006	0.13388235	0.0523867919	0.052304471	0.0521673651	0.0519756181	0.0517294306	0.0514290606	0.0510748227	0.050667088	0.0502062834	0.0496928916	0.0491274505	0.0485105521	0.0478428428	0.0471250218	0.0463578411	0.0455421041	0.0446786654	0.0437684292	0.042812349	0.0418114263	0.0407667093	-0.0047896093	0.0237141988	0.0567674992	-0.0006369269	0.0091179506	-0.0117250412	-0.0086464401	0.0101310404	-0.0403202314	0.0151021758	0	0	0	0	0	0	0	0	0	0	0
0.00201946	-0.0107139	0.0833124	3.6664e-05	0.00026313	-4.65995e-05	-0.00616575	0.0063476	0.0251857	0.000277773	-0.000187777	0.0005057985	0.086266475	0.0523789848	0.0522732612	0.0520972133	0.0518510778	0.051535186	0.0511499628	0.0506959264	0.0501736876	0.0495839492	0.0489275043	0.0482052363	0.0474181167	0.0465672044	0.0456536443	0.0446786654	0.0436435792	0.0425497785	0.0413987346	0.040191996	0.0389311863	0.0376180017	0.000870908	0.0289466666	0.0042887167	0.0268350766	0.0379985198	-0.020592319	-0.006093586	0.0080393508	0.009059678	0.0115395356	0	0	0	0	0	0	0	0	0	0	0
