"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0622387	-0.03492	0.0532161	0.00116187	0.000216226	-0.000567713	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0176689593	0.0404392623	-0.0250284822	0.0327864909	-0.0287527695	-0.0389601299	0.0467633589	-0.0316928666	0.0050876956	0.0517591259	0	0	0	0
-0.0584421	-0.0275479	0.0367226	0.00136401	0.000240349	-0.000550165	0.0037966	0.0073721	-0.0164935	0.00020214	2.41230000000001e-05	1.7548e-05	0.03985275	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.024258888	0.0419233282	0.0053721811	0.0508146735	-0.0181357565	-0.0212815938	-0.0027985677	-0.0498038169	-0.0327258704	0.0414645149	0	0	0	0
-0.0485758	-0.0128869	0.0367011	0.00113442	0.000240349	-0.000323628	0.00986629999999999	0.014661	-2.15000000000076e-05	-0.00022959	0	0.000226537	0.04735515	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0273659486	0.0134724911	0.0531416418	0.0246156713	-0.0169362021	-0.0238879931	-0.0200150317	-0.0133852172	0.0107430108	0.0752911146	0	0	0	0
-0.0465594	-0.0138337	0.0317671	0.000940471	0.000126831	-0.000394741	0.0020164	-0.000946800000000003	-0.00493399999999999	-0.000193949	-0.000113518	-7.1113e-05	0.0268262	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0157603286	0.0277429628	0.0728439558	-0.0100489406	-0.0091500887	-0.0217732173	0.0005770282	0.0300510944	-0.0043027498	0.0696142005	0	0	0	0
-0.0400803	0.00464717	0.0366641	0.00063543	0.000240349	-0.000412078	0.0064791	0.01848087	0.004897	-0.000305041	0.000113518	-1.7337e-05	0.05165177	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0028796911	0.0502880454	0.0045933204	-0.0561337155	-0.0081428069	-0.0238536455	0.0062554586	0.0666870462	-0.0241211171	0.0317340839	0	0	0	0
-0.0408755	-0.0178437	0.0292912	0.000568754	0.000240349	-0.000346132	-0.000795199999999996	-0.02249087	-0.0073729	-6.6676e-05	0	6.5946e-05	0.03729007	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.0022457612	0.0788461928	-0.0191945102	-0.0353389854	-0.0246305219	-0.0033058431	-0.0059185051	0.0114609423	-0.0738576971	0.0018141623	0	0	0	0
-0.0366875	-0.0325894	0.042801	0.00147703	0.000240349	-0.000101036	0.004188	-0.0147457	0.0135098	0.000908276	0	0.000245096	0.0901121	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0162348184	0.0421132305	-0.0197153959	0.0236906792	-0.00581397	-0.0076507554	-0.0363238669	-0.0121596696	-0.0177222861	-0.035372422	0	0	0	0
-0.0344264	-0.0256401	0.0538168	0.000856951	0.000240349	-0.000327137	0.0022611	0.0069493	0.0110158	-0.000620079	0	-0.000226101	0.0625352	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0213787082	0.0254290105	-0.0070929914	0.0553765143	-0.000444638	-0.0058823807	-0.0360670395	-0.0529687094	-0.0119524192	0.0299544565	0	0	0	0
-0.027685	-0.0325866	0.0675494	0.000999968	0.000240349	-4.32849e-05	0.0067414	-0.0069465	0.0137326	0.000143017	0	0.0002838521	0.048763955	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0216933767	-0.0105644453	0.0143394411	0.0417115323	-0.041049982	0.0117255572	-0.0488732865	-0.0413448235	0.002325084	0.0248255784	0	0	0	0
-0.0345317	-0.00221874	0.0653251	0.000460435	-0.000224442	-0.00029184	-0.0068467	0.03036786	-0.0022243	-0.000539533	-0.000464791	-0.0002485551	0.102082815	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0139095238	-0.00531338	0.0261965709	0.0089084928	-0.0578559305	0.0395589699	-0.0877115682	-0.002888782	-0.0186319987	0.0182968565	0	0	0	0
