"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.06358	0.0255541	-0.109361	0.00365371	0.000928174	-0.000487436	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	0.0194228274	-0.0466806122	-0.0517989399	-0.004564198	0.0152687042	0.0255567411	0.0741171279	0.111680831	0.0102010953	-0.0122447952	0	0	0	0	0	0	0	0	0
-0.0635944	0.0489837	-0.11419	0.00361813	0.000822325	-0.000487436	-1.43999999999977e-05	0.0234296	-0.00482900000000006	-3.55800000000003e-05	-0.000105849	0	0.03534445	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0576644841	-0.0050763065	-0.0276097997	-0.0178932662	0.002517823	-0.0217506247	-0.0319592096	0.0810242029	0.023972673	-0.0518309624	0	0	0	0	0	0	0	0	0
-0.0636088	0.0239776	-0.121063	0.00419107	0.000690037	-0.000487436	-1.44000000000116e-05	-0.0250061	-0.00687299999999996	0.00057294	-0.000132288	0	0.0671549	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.048842687	-0.0490553649	-0.0700397734	0.0593320839	-0.0296806369	0.0380407745	-0.0291290723	0.0177619157	0.0102473538	0.0392478948	0	0	0	0	0	0	0	0	0
-0.0388427	-0.0469186	-0.0255991	-0.00128378	0.000101071	-0.000487436	0.0247661	-0.0708962	0.0954639	-0.00547485	-0.000588966	0	0.494317	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	0.0972131277	-0.0712207147	0.040518035	-0.0431306165	0.0128037517	0.0113020758	0.0420996947	0.038349416	0.0306223781	0.0512567366	0	0	0	0	0	0	0	0	0
-0.0334266	-0.00680264	-0.0730743	0.000484228	-0.000229211	-0.000487436	0.0054161	0.04011596	-0.0474752	0.001768008	-0.000330282	0	0.19792176	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0366140832	-0.0248711543	0.040682939	-0.0650913969	0.0714114793	-0.0117326636	-0.033116058	0.0503603119	0.0314351083	0.0122146396	0	0	0	0	0	0	0	0	0
-0.0460453	0.00822958	-0.0849307	0.00130368	0.000161442	-0.000487436	-0.0126187	0.01503222	-0.0118564	0.000819452	0.000390653	0	0.10001257	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.1072883199	-0.0460990811	0.0117982173	0.0355369586	0.0322142897	0.0113240537	-0.0557283554	0.0699187895	-0.0529765252	-0.023432859	0	0	0	0	0	0	0	0	0
-0.0532704	-0.0138888	-0.0262112	0.000824816	1.23948e-05	-0.000611174	-0.0072251	-0.02211838	0.0587195	-0.000478864	-0.0001490472	-0.000123738	0.12564544	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0312091045	-0.0482547505	0.0374583062	0.0461833716	-0.0264985229	0.0524788543	0.0140093425	-0.022819445	0.0190125523	0.0120202634	0	0	0	0	0	0	0	0	0
-0.0456621	-0.0421993	-0.031568	0.000826313	-5.09865e-05	-0.000618186	0.00760830000000001	-0.0283105	-0.00535679999999999	1.49699999999983e-06	-6.33813e-05	-7.01199999999993e-06	0.044870115	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0378905747	-0.0268478832	0.012740988	-0.010843774	-0.0034056821	-0.0158730827	0.0566216542	-0.038032985	-0.0375437928	0.0411992563	0	0	0	0	0	0	0	0	0
-0.0339103	-0.0455563	-0.008747	0.000698529	-0.000121772	-0.000487436	0.0117518	-0.00335700000000001	0.022821	-0.000127784	-7.07855e-05	0.00013075	0.054395775	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	0.0501047149	-0.0126601854	0.0073056465	-0.0278482713	0.0270658088	-0.0208556273	0.0392601769	-0.0090210482	-0.0023606684	0.03373652	0	0	0	0	0	0	0	0	0
-0.0288877	-0.0422082	-0.0673285	0.000414564	3.78683e-05	-0.000856805	0.0050226	0.00334810000000001	-0.0585815	-0.000283965	0.0001596403	-0.000369369	0.107600915	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.031744956	0.0270983603	-0.0281632858	-0.0108541738	0.0251069024	-0.0322442632	-0.0400811688	0.0343414927	0.0288548474	-0.0129598561	0	0	0	0	0	0	0	0	0
