"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0449042	-0.0211644	-0.157174	-9.521e-05	0.000115541	-0.00068002	NA	NA	NA	NA	NA	NA	NA	0.0513325903	0.0513322605	0.0513317109	0.0513309413	0.051329952	0.0513287428	0.0513273137	0.0513256648	0.0513237961	0.0513217075	0.0513193992	0.051316871	0.051314123	0.0513111553	0.0513079677	0.0513045605	0.0513009334	0.0512970867	0.0512930202	0.0512887341	0.0512842283	0.0512795028	-0.0308256411	-0.0426781809	0.0516112165	0.0734998102	-0.0067716158	0.0289558851	-0.0485333582	0.0805465418	0.0814152471	-0.0048359589	0	0	0	0
-0.0427988	-0.0454177	-0.103716	0.000502404	0.000169826	-0.00068002	0.00210539999999999	-0.0242533	0.053458	0.000597614	5.4285e-05	0	0.11241165	0.0513317109	0.0513287428	0.0513237961	0.051316871	0.0513079677	0.0512970867	0.0512842283	0.051269393	0.0512525814	0.0512337941	0.0512130319	0.0511902955	0.0511655859	0.051138904	0.0511102507	0.0510796273	0.051047035	0.0510124748	0.0509759483	0.0509374568	0.0508970017	0.0508545847	-0.002678135	-0.0315276501	0.0169479961	0.0425023052	-0.0015592678	0.0078049037	0.0160258575	0.0534936292	0.0519276461	0.0044263558	0	0	0	0
-0.0428397	-0.0138758	-0.0523468	-2.16095e-05	0.000117534	-0.00068002	-4.08999999999965e-05	0.0315419	0.0513692	-0.0005240135	-5.2292e-05	0	0.111767275	0.051329952	0.0513217075	0.0513079677	0.0512887341	0.0512640087	0.0512337941	0.0511980936	0.051156911	0.0511102507	0.0510581178	0.0510005177	0.0509374568	0.0508689416	0.0507949796	0.0507155786	0.0506307473	0.0505404946	0.0504448302	0.0503437644	0.050237308	0.0501254723	0.0500082695	0.0195558782	0.0614436089	0.0429130918	0.0255923112	0.0288562165	0.0736535996	-0.0143955814	-0.0361483839	-0.0102405197	0.0046857459	0	0	0	0
-0.0428205	-0.0221124	-0.0799259	-2.16095e-05	0.00015457	-0.00068002	1.92000000000039e-05	-0.0082366	-0.0275791	0	3.7036e-05	0	0.0376867	0.0513273137	0.0513111553	0.0512842283	0.0512465384	0.0511980936	0.051138904	0.0510689819	0.0509883422	0.0508970017	0.0507949796	0.0506822973	0.0505589784	0.0504250488	0.0502805367	0.0501254723	0.0499598883	0.0497838193	0.0495973023	0.0494003765	0.0491930831	0.0489754657	0.04874757	0.0236035565	-0.0126563529	0.0161133138	0.0488379333	0.0265432023	0.0328702205	0.0151282829	-0.013798687	0.0390948489	0.0145553481	0	0	0	0
-0.0349199	-0.0293078	-0.0197606	0.000698786	5.57856e-05	-0.00068002	0.00790059999999999	-0.0071954	0.0601653	0.0007203955	-9.87844e-05	0	0.116220295	0.0513237961	0.0512970867	0.0512525814	0.0511902955	0.0511102507	0.0510124748	0.0508970017	0.0507638714	0.0506131302	0.0504448302	0.05025903	0.0500557939	0.0498351925	0.0495973023	0.0493422058	0.0490699916	0.048780754	0.0484745935	0.0481516161	0.047811934	0.0474556651	0.0470829328	0.0264035058	-0.048865116	-0.0008494835	0.0208976531	0.0417724202	-0.0362905873	0.0026092477	-0.0327049357	0.0435400015	0.0542920292	0	0	0	0
-0.0428473	-0.00426551	-0.0198925	-0.000574722	0.000548815	-0.000513562	-0.00792739999999999	0.02504229	-0.000131900000000001	-0.001273508	0.0004930294	0.000166458	0.12975136	0.0513193992	0.0512795028	0.0512130319	0.0511200208	0.0510005177	0.0508545847	0.0506822973	0.0504837447	0.05025903	0.0500082695	0.0497315932	0.0494291445	0.0491010801	0.04874757	0.0483687975	0.0479649587	0.0475362631	0.0470829328	0.0466052026	0.0461033203	0.0455775458	0.0450281516	0.0020889264	-0.050065816	0.0014795336	0.0180499373	0.032628442	-0.028147184	0.0043947235	0.0072692464	0.0321601395	0.011744205	0	0	0	0
-0.042858	-0.0283716	-0.0336883	-0.000192149	0.000234025	-0.00068002	-1.07000000000024e-05	-0.02410609	-0.0137958	0.000382573	-0.00031479	-0.000166458	0.08110364	0.051314123	0.0512584048	0.0511655859	0.0510357335	0.0508689416	0.0506653309	0.0504250488	0.0501482692	0.0498351925	0.0494860452	0.0491010801	0.0486805757	0.0482248365	0.0477341923	0.0472089983	0.0466496345	0.0460565059	0.0454300417	0.0447706954	0.0440789442	0.0433552888	0.0426002529	0.0096391873	-0.0525530673	-0.0118537749	-0.0422911523	0.0263785408	-0.0432023622	0.0347772301	-0.0121228427	0.0160139112	0.0129256062	0	0	0	0
-0.042858	-0.0243301	0.000113557	2.69359e-05	0.000234025	-0.00068002	0	0.0040415	0.033801857	0.0002190849	0	0	0.048797602	0.0513079677	0.0512337941	0.0511102507	0.0509374568	0.0507155786	0.0504448302	0.0501254723	0.0497578128	0.0493422058	0.048879052	0.0483687975	0.047811934	0.0472089983	0.0465605712	0.0458672776	0.0451297856	0.0443488058	0.0435250908	0.0426594344	0.0417526707	0.0408056734	0.0398193552	0.0086732524	-0.0548889984	-0.012936966	-0.0353872811	0.034766927	-0.0554139574	0.0581035066	-0.0015692078	0.0136013291	-0.0385954931	0	0	0	0
-0.048678	-0.0036683	-0.0398887	-0.000574722	0.000133439	-0.000730473	-0.00582	0.0206618	-0.040002257	-0.0006016579	-0.000100586	-5.0453e-05	0.104118902	0.0513009334	0.0512056724	0.051047035	0.0508252175	0.0505404946	0.0501932186	0.0497838193	0.0493128035	0.048780754	0.0481883295	0.0475362631	0.046825362	0.0460565059	0.0452306464	0.0443488058	0.0434120755	0.0424216147	0.0413786495	0.0402844707	0.0391404325	0.0379479508	0.0367085017	0.0014356217	-0.0134408974	0.0026244228	-0.0456410837	0.0225296145	-0.0061351609	0.018292642	0.0078332222	-0.0111910787	0.0214476565	0	0	0	0
-0.0457844	-0.0548289	-0.0112054	0.000306253	0.000234025	-0.00068002	0.0028936	-0.0511606	0.0286833	0.000880975	0.000100586	5.0453e-05	0.1343382	0.0512930202	0.0511740416	0.0509759483	0.0506990465	0.0503437644	0.0499106512	0.0494003765	0.0488137291	0.0481516161	0.047415061	0.0466052026	0.0457232929	0.0447706954	0.0437488826	0.0426594344	0.041504035	0.0402844707	0.0390026269	0.0376604853	0.0362601209	0.0348036986	0.03329347	-0.0086504595	0.0291339292	0.0165975864	-0.0566628159	0.0062739893	0.0013839247	0.0193334688	0.0158074866	-0.0539594044	-0.0061014285	0	0	0	0
