"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0341338	-0.00018427	-0.0510064	0.00139604	0.000497348	0.000150755	0.0162104	0.03031813	0.034784	-0.00055993	0.000177491	0.0003414	0.13525358	0.0512842283	0.051138904	0.0508970017	0.0505589784	0.0501254723	0.0495973023	0.0489754657	0.048261137	0.0474556651	0.0465605712	0.0455775458	0.0445084453	0.0433552888	0.042120254	0.0408056734	0.0394140296	0.0379479508	0.0364102058	0.0348036986	0.0331314631	0.0313966575	0.0296025581	-0.0254827148	0.0148542896	-0.022773072	0.0073937869	0.0060345562	-0.0037831921	0.0498466859	-0.0378487506	0.0175749298	0.0413442291	0	0	0	0	0
0.0177564	-0.013346	-0.0496965	0.00111914	0.000639589	-0.000160444	-0.0163774	-0.01316173	0.0013099	-0.0002769	0.000142241	-0.000311199	0.06736603	0.0512745577	0.0511002618	0.0508102074	0.0504050515	0.0498857119	0.0492533652	0.0485094437	0.0476556328	0.0466938665	0.0456263236	0.0444554224	0.0431838154	0.0418143832	0.0403502279	0.0387946664	0.0371512224	0.035423619	0.0336157698	0.0317317699	0.0297758875	0.027752553	0.0256663501	-0.0406595681	-0.0095322488	0.0085967088	-0.0160063388	-0.0511579994	0.0154446213	-0.0047466736	0.016470468	0.0519959382	-0.0493132815	0	0	0	0	0
0.0275225	-0.0133785	-0.0733934	0.00150686	0.000680997	0.000150755	0.0097661	-3.24999999999995e-05	-0.0236969	0.00038772	4.14079999999999e-05	0.000311199	0.07051185	0.0512640087	0.0510581178	0.0507155786	0.050237308	0.0496245858	0.048879052	0.0480027017	0.0469978805	0.0458672776	0.0446139188	0.0432411585	0.0417526707	0.040152439	0.0384447462	0.0366341627	0.0347255342	0.0327239687	0.0306348232	0.0284636888	0.0262163763	0.0238989001	0.0215174627	-0.0277886514	-0.0170985156	0.0030318332	-0.0399975919	-0.0007238671	0.008224554	-0.0365009601	-0.0193456468	0.0214863396	0.0237468945	0	0	0	0	0
0.0130566	0.00488623	-0.0789688	0.00166597	0.000680997	-0.000294234	-0.0144659	0.01826473	-0.00557540000000004	0.00015911	0	-0.000444989	0.06851098	0.0512525814	0.0510124748	0.0506131302	0.0500557939	0.0493422058	0.0484745935	0.0474556651	0.0462886013	0.0449770452	0.0435250908	0.0419372706	0.040218541	0.038374267	0.0364102058	0.0343324881	0.0321475998	0.029862361	0.0274839053	0.0250196571	0.0224773087	0.0198647963	0.0171902747	-0.0313953747	-0.0147138691	-0.0250446248	-0.0260915649	0.0377891845	-0.0215748812	-0.0027964677	0.0101003368	0.0076376182	0.0386858852	0	0	0	0	0
0.0130256	0.0133039	-0.0557887	0.000907087	0.000680997	-0.000265206	-3.09999999999998e-05	0.00841767	0.0231801	-0.000758883	0	2.9028e-05	0.07102432	0.051240276	0.050963336	0.0505028777	0.049860559	0.049038693	0.0480402391	0.0468687929	0.0455285727	0.0440244045	0.042361705	0.0405464614	0.0385852104	0.0364850145	0.0342534364	0.0318985121	0.0294287216	0.0268529586	0.0241804983	0.0214209644	0.0185842938	0.0156807013	0.0127206428	-0.0141515718	0.0259533906	-0.0118158518	0.0042872952	0.0251161196	-0.0206689832	0.0416139961	-0.0236574186	-0.0034459067	0.0556757846	0	0	0	0	0
0.0130822	-0.0129342	-0.0677055	0.00122223	0.000612669	-0.000254258	5.66000000000004e-05	-0.0262381	-0.0119168	0.000315143	-6.83279999999999e-05	1.0948e-05	0.05793245	0.0512270927	0.0509107048	0.0503848382	0.0496516568	0.0487141772	0.0475762569	0.0462425779	0.044718628	0.0430106775	0.041125754	0.0390716134	0.0368567075	0.0344901501	0.0319816784	0.0293416141	0.0265808199	0.0237106555	0.0207429306	0.0176898562	0.0145639947	0.0113782077	0.0081456036	-0.021321935	0.0081688187	0.0077883242	0.006122975	-0.0479303974	0.021882445	0.0046310071	0.0152722466	0.0064568818	-0.0300272999	0	0	0	0	0
0.0130337	-0.0037716	-0.0671316	0.00124876	0.000680997	-5.32804e-05	-4.84999999999982e-05	0.0091626	0.000573900000000002	2.65300000000001e-05	6.83279999999999e-05	0.0002009776	0.02457678	0.0512130319	0.0508545847	0.05025903	0.0494291445	0.0483687975	0.0470829328	0.0455775458	0.0438596552	0.0419372706	0.0398193552	0.0375157835	0.0350372959	0.0323954483	0.0296025581	0.0266716472	0.0236163807	0.0204510037	0.0171902747	0.0138493968	0.0104439465	0.0069898018	0.0035030673	-0.0193419681	0.0052310297	0.0139346378	-0.0371333873	0.0009783766	0.0312071465	-0.0351610562	0.0089293677	0.0121867633	0.0011264336	0	0	0	0	0
-0.000152833	-0.0139792	-0.0589305	0.00101349	0.000305284	1.95203e-05	-0.013186533	-0.0102076	0.0082011	-0.00023527	-0.000375713	7.28007e-05	0.065784418	0.0511980936	0.0507949796	0.0501254723	0.0491930831	0.0480027017	0.0465605712	0.0448742547	0.042952596	0.0408056734	0.0384447462	0.0358821964	0.0331314631	0.0302069725	0.0271240621	0.0238989001	0.0205484008	0.0170901359	0.013542242	0.0099233262	0.0062523676	0.0025486187	-0.0011684964	-0.0193804428	0.0112977608	-0.0287577102	0.0261028793	0.0380955167	0.0180683218	-0.0132231764	-0.0389448201	-0.0236564299	0.0528007385	0	0	0	0	0
0.00744932	0.0153372	-0.052117	0.000633975	0.000172756	-0.000184309	0.007602153	0.0293164	0.0068135	-0.000379515	-0.000132528	-0.0002038293	0.079525668	0.0511822782	0.0507318935	0.0499841859	0.0489435374	0.0476160468	0.0460094942	0.044133295	0.041998445	0.039617456	0.037004282	0.034174238	0.03114391	0.0279310578	0.0245545108	0.0210340579	0.0173903312	0.0136446855	0.0098190728	0.0059359137	0.0020179662	-0.001911808	-0.0058303776	-0.0305877806	-0.0236635174	-0.0261134104	0.0441217813	0.0027600096	-0.0375495636	-0.0168802861	-0.0038756663	-0.0040398972	0.0335188934	0	0	0	0	0
0.0129864	0.0153572	-0.0352843	0.000233445	0.000172756	-0.000283658	0.00553708	1.99999999999975e-05	0.0168327	-0.00040053	0	-9.9349e-05	0.04738373	0.0511655859	0.0506653309	0.0498351925	0.0486805757	0.0472089983	0.0454300417	0.0433552888	0.0409982483	0.038374267	0.0355004298	0.0323954483	0.029079539	0.025574292	0.0219025301	0.0180881602	0.0141560177	0.0101317049	0.0060414244	0.001911808	-0.0022302563	-0.0063577993	-0.0104439465	-0.0199144329	-0.0324362405	0.066692073	-0.0321277139	-0.0144408081	-0.037054845	0.0086843738	0.0542619079	0.0437692389	-0.0190510748	0	0	0	0	0
