"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0134955	-0.111998	0.0683319	-0.00402104	-0.000472723	-0.000877327	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0343805827	-0.0300234372	0.011607916	-0.0316338056	0.0360836267	0.1238073595	-0.0673390979	-0.0398920467	0.030206045	-0.0620166938	0	0	0	0	0	0
-0.0185102	-0.0910754	0.143784	-0.00291474	-0.000587762	-0.000346293	-0.0050147	0.0209226	0.0754521	0.0011063	-0.000115039	0.000531034	0.18900805	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	0.0200636399	0.0252251605	0.0134561019	-0.0313559122	0.0287529093	0.0546477772	-0.0421859782	-0.0138021311	-0.0559872083	0.0266854669	0	0	0	0	0	0
-0.0254303	-0.0642468	0.16901	-0.00340569	-0.000534558	-0.000152439	-0.0069201	0.0268286	0.025226	-0.00049095	5.32039999999998e-05	0.000193854	0.0958751	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	0.0120401874	0.0135839531	0.0263870757	-0.0544102119	0.0624255966	-0.003532367	-0.0097633474	-0.0407517157	-0.0302489276	-0.0003840769	0	0	0	0	0	0
-0.0253666	-0.0642963	0.124842	-0.00359123	-0.000547007	-0.000563572	6.36999999999999e-05	-4.95000000000079e-05	-0.044168	-0.00018554	-1.24489999999999e-05	-0.000411133	0.0747373	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0165916664	-0.0081827723	0.0119292898	-0.0547107164	0.0195062492	-0.0553580115	0.0356776755	0.0153164771	-0.0127954719	0.0078328547	0	0	0	0	0	0
-0.0168633	-0.0641837	0.167272	-0.00271924	-0.000472723	-0.000397964	0.0085033	0.000112600000000018	0.04243	0.00087199	7.42839999999999e-05	0.000165608	0.10664	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	0.0216998221	0.0718231865	-0.0086785477	-0.0445795375	0.0371818591	-0.0362378447	-0.0068265352	-0.0270402944	-0.0691388331	-0.016346535	0	0	0	0	0	0
-0.0253725	-0.0544732	0.141183	-0.00409603	-0.000472723	-0.000645536	-0.0085092	0.0097105	-0.026089	-0.00137679	0	-0.000247572	0.1255268	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.0136036799	-0.0002700793	0.0172180949	-0.035602029	0.0478347554	-0.0125402279	-0.0180810981	0.0107604536	-0.0464539637	0.0103451288	0	0	0	0	0	0
-0.0253947	-0.0642848	0.106873	-0.00312249	-0.00035837	-0.000579423	-2.22e-05	-0.00981160000000001	-0.03431	0.00097354	0.000114353	6.61129999999999e-05	0.1018441	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0024925747	0.0148579493	-0.0332615901	0.061068989	0.0185735118	0.0058438088	-0.0099515431	0.0317124865	-0.0379634413	-0.0082043242	0	0	0	0	0	0
-0.0169932	-0.0643283	0.14734	-0.00337043	-0.000340643	-0.000522447	0.0084015	-4.35000000000019e-05	0.040467	-0.00024794	1.7727e-05	5.6976e-05	0.06504415	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0144096386	0.0287725815	0.0094045703	0.0416398259	0.0549681868	0.0048480531	-0.0414097161	0.009472968	-0.0610652603	0.0043311218	0	0	0	0	0	0
-0.025358	-0.0567191	0.111602	-0.00360791	-0.000472723	-0.000715874	-0.0083648	0.0076092	-0.035738	-0.00023748	-0.00013208	-0.000193427	0.07986135	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0072500007	-0.0189022226	0.0086625153	0.0378407117	0.0369523169	0.0039114578	0.005388311	0.0355999346	-0.0255620405	-0.0238552343	0	0	0	0	0	0
-0.0253897	-0.0591584	0.175392	-0.00327896	-0.000472723	-0.000507647	-3.16999999999991e-05	-0.0024393	0.06379	0.00032895	0	0.000208227	0.09311985	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	0.0197948419	0.0323409841	0.0009996388	0.0110836522	0.0535323041	-0.0235727302	-0.0074694447	0.0174270179	-0.0719584051	0.029020157	0	0	0	0	0	0
