"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"motion_outlier08"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0599817	-0.0173837	0.0279098	0.00152611	0.000525395	0	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0122804805	-0.0090360266	-0.0456209867	0.0368515673	-0.0071184564	-0.0547427868	-0.0513398356	-0.143393156	-0.0244262913	0.0082843337	0	0	0	0	0	0	0	0	0	0	0	0
0.0437478	-0.0173715	0.0278283	0.00105388	0.000409598	0	-0.0162339	1.22000000000004e-05	-8.15000000000017e-05	-0.00047223	-0.000115797	0	0.04572895	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.0205197734	-0.0301460718	-0.0561654569	0.0131291777	-0.0058104194	-0.0011536595	-0.0025546596	-0.0320812158	0.0185641415	-0.0283076114	0	0	0	0	0	0	0	0	0	0	0	0
0.0399346	0.0040524	0.0370603	0.000362795	0.000371453	-5.11863e-05	-0.0038132	0.0214239	0.009232	-0.000691085	-3.8145e-05	-5.11863e-05	0.073489915	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0217041258	0.0082088366	-0.0287768809	0.025126138	-0.0044862964	0.0035765352	0.0043245851	-0.022145767	-0.0074377539	-0.0294676954	0	0	0	0	0	0	0	0	0	0	0	0
0.0455049	-0.0215012	-0.0336844	0.000382294	0.000201951	0	0.0055703	-0.0255536	-0.0707447	1.9499e-05	-0.000169502	5.11863e-05	0.113877965	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0057999681	0.0404600819	-0.039212229	0.0510070786	0.0107300443	-0.0224458745	0.0396906484	0.030174687	0.0105118447	-0.0536590121	0	0	0	0	0	0	0	0	0	0	0	0
0.0535171	-0.032403	0.0206572	0.00123898	0.00032034	0.000180085	0.00801219999999999	-0.0109018	0.0543416	0.000856686	0.000118389	0.000180085	0.1310136	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0056075375	-0.0038614289	-0.0385947969	0.025608965	-0.0093898069	-0.0168644824	0.0559694896	-0.0005742295	-0.0033403987	0.0041666197	0	0	0	0	0	0	0	0	0	0	0	0
0.0594684	-0.017387	0.0317937	0.000889401	0.000284327	0	0.00595130000000001	0.015016	0.0111365	-0.000349579	-3.6013e-05	-0.000180085	0.06038765	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.016185692	-0.0022641144	-0.0355036511	0.006509678	-0.0122391551	0.0009631527	0.067338831	0.0032621808	0.0006153444	-0.0214175158	0	0	0	0	0	0	0	0	0	0	0	0
0.0547444	-0.0173913	0.0101703	0.00057062	0.000142877	0.000162483	-0.004724	-4.29999999999875e-06	-0.0216234	-0.000318781	-0.00014145	0.000162483	0.0574874	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0118041732	-0.0038461615	-0.0536502056	-0.0040848501	0.0035600468	-0.003735371	0.0752337562	0.0094899819	0.005102782	-0.0183146162	0	0	0	0	0	0	0	0	0	0	0	0
0.0594364	-0.0276304	0.0158046	0.00106904	0.000241343	0.00011149	0.004692	-0.0102391	0.0056343	0.00049842	9.8466e-05	-5.0993e-05	0.05295935	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	-0.0135108632	-0.0157289862	-0.0496213362	-0.0186686258	-0.0022926631	-0.0026003021	0.0404924926	-0.0002712778	0.0285167473	-0.0136611802	0	0	0	0	0	0	0	0	0	0	0	0
0.0413181	-0.0109402	0.0178277	0.000626522	0.000257631	0.000174973	-0.0181183	0.0166902	0.0020231	-0.000442518	1.6288e-05	6.3483e-05	0.06294605	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	-0.0176385113	-0.0030646085	-0.0230232703	-0.0321934412	-0.0178447925	0.0077989595	0.001552987	-0.015895459	-0.0066985496	-0.0274244864	0	0	0	0	0	0	0	0	0	0	0	0
0.0249595	0.0013505	0.00632456	-0.000104806	0.000120897	5.01066e-05	-0.0163586	0.0122907	-0.01150314	-0.000731328	-0.000136734	-0.0001248664	0.08979886	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0156430025	0.0243865383	-0.0180378329	-0.0054208498	-0.0020174389	0.0067253895	-0.0033714555	0.0109057601	0.0156453048	-0.0325790226	0	0	0	0	0	0	0	0	0	0	0	0
