"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0165824	-9.07497e-06	0.0253315	-0.000975474	0	0	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0199500251	-0.0589656671	0.0102773439	-0.0310786816	0.0583230876	0.0178449879	0.1196626928	-0.0011755882	-0.1377102648	0.0372807771	0	0	0	0
-0.00633779	-0.0548698	-0.0215663	-0.000311143	-0.000115527	0.00020407	0.01024461	-0.05486072503	-0.0468978	0.000664331	-0.000115527	0.00020407	0.16119953503	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	0.0186042122	-0.0162634446	0.0254872366	-0.0039051804	0.080537413	-0.0073520529	0.0259535499	-0.03398477	-0.131083412	-0.0264775148	0	0	0	0
-0.0118128	-0.0247574	0.00222656	8.94442e-05	0.000180407	0.000485604	-0.00547501	0.0301124	0.02379286	0.0004005872	0.000295934	0.000281534	0.10828303	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.0124084028	0.0391930486	0.0329230943	-0.0279663142	0.0580332708	0.0418161763	-0.0477012471	-0.0152223426	-0.0754238372	-0.0210265346	0	0	0	0
-0.0150485	0.0329317	0.0582581	-0.000311604	-0.000154211	0	-0.0032357	0.0576891	0.05603154	-0.0004010482	-0.000334618	-0.000485604	0.17801985	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0243528774	0.05691677	0.0310795185	-0.0054975659	0.0242434758	0.0463832728	-0.0698157788	-0.0102610571	-0.0162865115	-0.0187680477	0	0	0	0
-4.24642e-05	-0.0317837	0.0187695	0.000295529	-0.000107321	0.00019111	0.0150060358	-0.0647154	-0.0394886	0.000607133	4.689e-05	0.00019111	0.1614666858	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.026365664	0.059515097	-0.0068665886	0.0001052856	-0.0023310726	0.0267317943	-0.0617872459	0.0326054934	0.0152277324	-0.0001909777	0	0	0	0
-0.0170134	0.0372796	0.0534479	-0.00138491	0.000271137	-7.17837e-05	-0.0169709358	0.0690633	0.0346784	-0.001680439	0.000378458	-0.0002628937	0.2368021708	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.0348526302	0.0402977528	-0.0516923678	0.0239180257	0.0026294257	0.022123288	-0.0256488918	0.0636540665	0.0186862578	-0.0073690308	0	0	0	0
-0.017025	-0.0197478	0.01873	0.000123845	-0.000310997	0.0001114	-1.1599999999997e-05	-0.0570274	-0.0347179	0.001508755	-0.000582134	0.0001831837	0.205460535	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	0.0172117695	0.0277493675	-0.0559290504	0.0041769259	-0.0056616781	-0.0441712323	-0.0251329766	0.0488774376	0.0292380135	5.6293e-05	0	0	0	0
0.000641771	0.01293	0.0652613	-0.000864296	0.000314073	0.000334001	0.017666771	0.0326778	0.0465313	-0.000988141	0.00062507	0.000222601	0.188666471	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0630139569	0.0237189964	-0.0215598618	0.0074469037	-0.0333979949	-0.0777077837	-0.0309481637	-0.0282060864	0.0402712019	0.0210018312	0	0	0	0
0.00620949	-0.0197566	0.0100797	-0.000581854	0.000119146	0.000334001	0.005567719	-0.0326866	-0.0551816	0.000282442	-0.000194927	0	0.117304369	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	0.0354695047	0.0194983725	0.0454178691	0.0207927671	-0.0429158082	-0.0030310524	-0.0066475427	-0.0718507587	0.0668399105	0.0235663336	0	0	0	0
0.0138148	-0.0197666	0.0338149	-0.000259032	0.000119146	0.000334001	0.00760531	-1.00000000000031e-05	0.0237352	0.000322822	0	0	0.04749161	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	-0.0323976387	0.0119205978	0.0578268955	0.001756579	-0.0352366329	0.0579501957	0.0324696491	-0.0260584136	0.0479110649	0.0011096409	0	0	0	0
