"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"motion_outlier02"	"motion_outlier03"	"motion_outlier04"	"motion_outlier05"	"motion_outlier06"	"motion_outlier07"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.211475	-0.134787	-0.0836116	0.000660413	0.00129759	-0.00236107	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	0.0307672139	0.0179230168	-0.0094895162	0.0026651432	-0.0835280702	-0.0192559857	0.0584027375	-0.0272679977	0.006431562	0.058745264	0	0	0	0	0	0	0	0	0	0	0
-0.195758	-0.0938934	-0.0718984	0.000408531	0.000521159	-0.00233804	0.015717	0.0408936	0.0117132	-0.000251882	-0.000776431	2.30299999999998e-05	0.12089095	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	0.0307126126	0.0141462401	0.0102830492	-0.0040774812	-0.0527716225	-0.027667355	0.0269363382	0.0295407751	0.0115286392	0.0359309825	0	0	0	0	0	0	0	0	0	0	0
-0.161197	-0.10258	-0.0551771	0.000300071	0.00113487	-0.00199407	0.034561	-0.00868659999999999	0.0167213	-0.00010846	0.000613711	0.00034397	0.11327595	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	0.0229138897	0.0180326575	0.045356458	0.0048420118	-0.0313353856	-0.0188449701	0.021864064	0.0037805543	-0.0220173157	0.0230626511	0	0	0	0	0	0	0	0	0	0	0
-0.145318	-0.112562	-0.0952313	0.00036657	0.00123334	-0.00163305	0.015879	-0.009982	-0.0400542	6.6499e-05	9.847e-05	0.00036102	0.09221465	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	0.017287337	0.00419781	-0.0529442388	-0.0323850504	0.0122126041	0.0107844711	-0.0069445115	-0.0569613284	0.0013528868	0.0143861705	0	0	0	0	0	0	0	0	0	0	0
-0.162416	-0.0840388	-0.03805	-4.88306e-05	0.0011766	-0.00189098	-0.017098	0.0285232	0.0571813	-0.0004154006	-5.67400000000002e-05	-0.00025793	0.13930603	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	0.0214633381	0.0035968855	0.0171224554	0.0020625866	-0.029963026	-0.0014121382	0.0211020995	0.0105936163	-0.0105491525	-0.0407456431	0	0	0	0	0	0	0	0	0	0	0
-0.120072	-0.137661	-0.0704295	0.000266062	0.00153991	-0.00127827	0.042344	-0.0536222	-0.0323795	0.0003148926	0.00036331	0.00061271	0.19289133	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	0.0184942903	0.0090115336	-0.0140768292	0.0286356835	-0.0182922957	-0.0187450628	-0.0111163008	-0.0296406174	-0.0405378343	0.0490415785	0	0	0	0	0	0	0	0	0	0	0
-0.123389	-0.0662446	-0.0607719	0.000574892	0.000742637	-0.00135694	-0.00331700000000001	0.0714164	0.00965759999999999	0.00030883	-0.000797273	-7.86700000000001e-05	0.14362965	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	0.023182849	-0.0014269386	0.00064062	0.0141802376	-0.0850503473	-0.0248442671	0.0172016886	-0.0033318079	-0.0106944458	-0.0212271392	0	0	0	0	0	0	0	0	0	0	0
-0.139828	-0.119055	-0.0457148	0.000678409	0.00111449	-0.00175968	-0.016439	-0.0528104	0.0150571	0.000103517	0.000371853	-0.00040274	0.128212	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0153921954	0.0191545522	0.0977837985	0.0487484525	0.0464948608	-0.0357193707	-0.0615251311	0.032386862	-0.0008408939	0.0239244248	0	0	0	0	0	0	0	0	0	0	0
-0.131638	-0.121133	-0.315056	0.00276681	0.00124663	-0.000908425	0.00819	-0.002078	-0.2693412	0.002088401	0.00013214	0.000851255	0.433199	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	0.0247969599	0.0848418423	0.0214874955	0.1090466465	-0.0276601614	-0.1137094382	-0.0274645835	-0.0410178515	-0.0445139413	-0.0330505464	0	0	0	0	0	0	0	0	0	0	0
-0.125412	-0.09538	-0.211234	0.00121261	0.000742638	-0.00091139	0.00622600000000001	0.025753	0.103822	-0.0015542	-0.000503992000000001	-2.96499999999996e-06	0.23885885	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	0.0279195269	0.0649961349	0.0180128504	0.0032218177	-0.0862009821	-0.0774804617	0.0612708325	0.0123756064	-0.0795071919	0.029484275	0	0	0	0	0	0	0	0	0	0	0
