"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"cosine21"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"motion_outlier01"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
-0.0192418	-0.07663	-0.307013	0.00120824	0.00140175	0.000396944	NA	NA	NA	NA	NA	NA	NA	0.0513325903	0.0513322605	0.0513317109	0.0513309413	0.051329952	0.0513287428	0.0513273137	0.0513256648	0.0513237961	0.0513217075	0.0513193992	0.051316871	0.051314123	0.0513111553	0.0513079677	0.0513045605	0.0513009334	0.0512970867	0.0512930202	0.0512887341	0.0512842283	0.0512795028	-0.0109902553	0.0884999143	-0.0665894573	0.0009070054	-0.0223874384	-0.0708644212	-0.1432791177	0.0807856709	-0.0516398506	-0.0058780862	0	0	0	0	0
-0.0106791	-0.0591117	-0.279093	0.00121567	0.00129209	0.000148677	0.0085627	0.0175183	0.0279200000000001	7.43000000000011e-06	-0.00010966	-0.000248267	0.07226885	0.0513317109	0.0513287428	0.0513237961	0.051316871	0.0513079677	0.0512970867	0.0512842283	0.051269393	0.0512525814	0.0512337941	0.0512130319	0.0511902955	0.0511655859	0.051138904	0.0511102507	0.0510796273	0.051047035	0.0510124748	0.0509759483	0.0509374568	0.0508970017	0.0508545847	-0.0247435074	0.0999310316	-0.0031940964	0.0205305122	-0.0545847186	0.042520697	-0.0660922757	0.002134812	-0.1106768479	-0.0113671958	0	0	0	0	0
-0.000888529	-0.0779454	-0.23048	0.000957965	0.00136976	0.000266554	0.009790571	-0.0188337	0.048613	-0.000257705	7.767e-05	0.000117877	0.099899871	0.051329952	0.0513217075	0.0513079677	0.0512887341	0.0512640087	0.0512337941	0.0511980936	0.051156911	0.0511102507	0.0510581178	0.0510005177	0.0509374568	0.0508689416	0.0507949796	0.0507155786	0.0506307473	0.0505404946	0.0504448302	0.0503437644	0.050237308	0.0501254723	0.0500082695	-0.0202346858	0.0689715955	-0.0304364376	0.0195655969	-0.0109458068	0.0204372702	-0.0405999171	0.0178603434	-0.0324957181	0.0065554027	0	0	0	0	0
0.01281	-0.0431226	-0.203664	0.000660493	0.00144328	0.000343108	0.013698529	0.0348228	0.026816	-0.000297472	7.35199999999999e-05	7.6554e-05	0.097714629	0.0513273137	0.0513111553	0.0512842283	0.0512465384	0.0511980936	0.051138904	0.0510689819	0.0509883422	0.0508970017	0.0507949796	0.0506822973	0.0505589784	0.0504250488	0.0502805367	0.0501254723	0.0499598883	0.0497838193	0.0495973023	0.0494003765	0.0491930831	0.0489754657	0.04874757	-0.0269290414	0.0648218992	-0.0035521431	0.0103330163	0.0248705415	0.0493691672	-0.0279803403	0.0105634786	-0.0703810539	0.0108647	0	0	0	0	0
0.00333237	-0.0818303	-0.170253	0.000596431	0.00144073	0.000375477	-0.00947763	-0.0387077	0.033411	-6.4062e-05	-2.54999999999938e-06	3.2369e-05	0.08654538	0.0513237961	0.0512970867	0.0512525814	0.0511902955	0.0511102507	0.0510124748	0.0508970017	0.0507638714	0.0506131302	0.0504448302	0.05025903	0.0500557939	0.0498351925	0.0495973023	0.0493422058	0.0490699916	0.048780754	0.0484745935	0.0481516161	0.047811934	0.0474556651	0.0470829328	-0.0234429856	0.0352653679	0.0295377573	0.0335321358	-0.0650854982	0.0249081467	0.0064404317	0.0026026797	-0.036343654	-0.0003975535	0	0	0	0	0
-0.000880874	-0.0441842	-0.177692	9.96768e-05	0.00124353	0.000148677	-0.004213244	0.0376461	-0.00743900000000003	-0.0004967542	-0.0001972	-0.0002268	0.095336054	0.0513193992	0.0512795028	0.0512130319	0.0511200208	0.0510005177	0.0508545847	0.0506822973	0.0504837447	0.05025903	0.0500082695	0.0497315932	0.0494291445	0.0491010801	0.04874757	0.0483687975	0.0479649587	0.0475362631	0.0470829328	0.0466052026	0.0461033203	0.0455775458	0.0450281516	-0.0148106334	0.0475772761	-0.0346733005	0.0211980093	0.0462421059	0.0527526297	-0.0053231616	-0.0175338239	0.0041864399	-0.018807921	0	0	0	0	0
-0.0374983	-0.0730206	-0.125822	0.00035573	0.00124353	0.000148677	-0.036617426	-0.0288364	0.05187	0.0002560532	0	0	0.130126486	0.051314123	0.0512584048	0.0511655859	0.0510357335	0.0508689416	0.0506653309	0.0504250488	0.0501482692	0.0498351925	0.0494860452	0.0491010801	0.0486805757	0.0482248365	0.0477341923	0.0472089983	0.0466496345	0.0460565059	0.0454300417	0.0447706954	0.0440789442	0.0433552888	0.0426002529	-0.020788725	0.0049050361	0.0387741125	0.0233673616	-0.0098064165	0.0136034628	0.0016119981	0.0274133174	-0.0313335657	-0.0114958833	0	0	0	0	0
-0.0372371	-0.00949287	-0.115482	4.62866e-05	0.00129769	-0.000300199	0.000261200000000003	0.06352773	0.01034	-0.0003094434	5.41600000000006e-05	-0.000448876	0.1147529	0.0513079677	0.0512337941	0.0511102507	0.0509374568	0.0507155786	0.0504448302	0.0501254723	0.0497578128	0.0493422058	0.048879052	0.0483687975	0.047811934	0.0472089983	0.0465605712	0.0458672776	0.0451297856	0.0443488058	0.0435250908	0.0426594344	0.0417526707	0.0408056734	0.0398193552	-0.0094971716	-0.0008878967	-0.0337783953	0.0193979741	-0.0112786703	0.0143620799	0.0116647538	-0.0349547856	0.0025272217	0.0059951941	0	0	0	0	0
-0.0204078	-0.0563458	-0.0636597	0.000156877	0.00119953	0.000406777	0.0168293	-0.04685293	0.0518223	0.0001105904	-9.81600000000006e-05	0.000706976	0.16129085	0.0513009334	0.0512056724	0.051047035	0.0508252175	0.0505404946	0.0501932186	0.0497838193	0.0493128035	0.048780754	0.0481883295	0.0475362631	0.046825362	0.0460565059	0.0452306464	0.0443488058	0.0434120755	0.0424216147	0.0413786495	0.0402844707	0.0391404325	0.0379479508	0.0367085017	-0.0223621106	-0.0271903437	0.0209253266	0.0083099268	0.0581119584	-0.0236671269	0.0251029481	-0.0074368311	0.0182000893	0.032321821	0	0	0	0	0
-0.0385426	-0.0239907	-0.0606829	-0.000424851	0.000890026	-8.77695e-05	-0.0181348	0.0323551	0.00297679999999999	-0.000581728	-0.000309504	-0.0004945465	0.122755625	0.0512930202	0.0511740416	0.0509759483	0.0506990465	0.0503437644	0.0499106512	0.0494003765	0.0488137291	0.0481516161	0.047415061	0.0466052026	0.0457232929	0.0447706954	0.0437488826	0.0426594344	0.041504035	0.0402844707	0.0390026269	0.0376604853	0.0362601209	0.0348036986	0.03329347	-0.0117791152	-0.0363416053	0.0385837451	0.0247249246	-0.027203436	-0.0178297325	0.0425576354	-0.0456188289	-0.000675695	0.0013711761	0	0	0	0	0
