"trans_x"	"trans_y"	"trans_z"	"rot_x"	"rot_y"	"rot_z"	"trans_x_derivative1"	"trans_y_derivative1"	"trans_z_derivative1"	"rot_x_derivative1"	"rot_y_derivative1"	"rot_z_derivative1"	"framewise_displacement"	"cosine00"	"cosine01"	"cosine02"	"cosine03"	"cosine04"	"cosine05"	"cosine06"	"cosine07"	"cosine08"	"cosine09"	"cosine10"	"cosine11"	"cosine12"	"cosine13"	"cosine14"	"cosine15"	"cosine16"	"cosine17"	"cosine18"	"cosine19"	"cosine20"	"t_comp_cor_00"	"t_comp_cor_01"	"t_comp_cor_02"	"t_comp_cor_03"	"t_comp_cor_04"	"a_comp_cor_00"	"a_comp_cor_01"	"a_comp_cor_02"	"a_comp_cor_03"	"a_comp_cor_04"	"volume_z"	"luminance_z"	"speech_z"	"face_z"
0.0845243	-0.0764953	-0.236751	-0.00119555	0.000761533	-0.000951601	NA	NA	NA	NA	NA	NA	NA	0.0523781585	0.0523777937	0.0523771858	0.0523763346	0.0523752403	0.0523739028	0.0523723222	0.0523704984	0.0523684314	0.0523661213	0.0523635681	0.0523607718	0.0523577323	0.0523544498	0.0523509242	0.0523471556	0.0523431439	0.0523388891	0.0523343914	0.0523296507	0.052324667	-0.0809705405	0.0338987567	-0.019868196	-0.0495217857	0.118174881	0.1200803074	-0.0100239394	0.0096525873	0.0934031991	0.0041899202	0	0	0	0
0.0349012	-0.0806486	-0.25055	-0.000836141	-0.000314477	-0.00105124	-0.0496231	-0.00415330000000001	-0.013799	0.000359409	-0.00107601	-9.96389999999999e-05	0.1443283	0.0523771858	0.0523739028	0.0523684314	0.0523607718	0.0523509242	0.0523388891	0.052324667	0.0523082586	0.0522896643	0.0522688852	0.0522459219	0.0522207755	0.0521934471	0.0521639377	0.0521322486	0.0520983812	0.0520623368	0.0520241169	0.0519837232	0.0519411573	0.051896421	-0.1430752176	-0.0001445816	0.0151029923	0.0163465324	-0.0389960839	0.1069338984	-0.1123592186	-0.0904777739	0.0004930442	-0.0235001675	0	0	0	0
0.0161147	-0.0421426	-0.272502	-0.00102284	-0.000208335	-0.000982467	-0.0187865	0.038506	-0.021952	-0.000186699	0.000106142	6.87730000000001e-05	0.0973252	0.0523752403	0.0523661213	0.0523509242	0.0523296507	0.0523023033	0.0522688852	0.0522294002	0.0521838529	0.0521322486	0.0520745933	0.0520108938	0.0519411573	0.051865392	0.0517836067	0.0516958108	0.0516020147	0.051502229	0.0513964655	0.0512847364	0.0511670547	0.051043434	-0.1102927305	-0.0501950673	0.0706831453	0.0357640221	-0.0093572384	0.0293842374	-0.1334954495	-0.0318551135	0.0156528545	-0.0291940042	0	0	0	0
0.0450617	0.0554665	-0.132479	-0.000774489	-5.26555e-23	-0.000485662	0.028947	0.0976091	0.140023	0.000248351	0.000208335	0.000496805	0.31425365	0.0523723222	0.0523544498	0.052324667	0.0522829807	0.0522294002	0.0521639377	0.0520866082	0.0519974292	0.051896421	0.0517836067	0.0516590118	0.0515226647	0.0513745965	0.0512148408	0.051043434	0.050860415	0.0506658255	0.0504597097	0.0502421146	0.0500130897	0.049772687	-0.0152555691	0.0132658314	0.0494061	-0.0062483301	-0.0723535101	0.0040941333	-0.003353584	0.0440594367	-0.0141810991	-0.0265131234	0	0	0	0
0.0326913	-0.0213568	-0.258215	-0.0002501	-0.000540097	-0.00105124	-0.0123704	-0.0768233	-0.125736	0.000524389	-0.000540097	-0.000565578	0.2964329	0.0523684314	0.0523388891	0.0522896643	0.0522207755	0.0521322486	0.0520241169	0.051896421	0.0517492091	0.0515825363	0.0513964655	0.0511910666	0.0509664168	0.0507226006	0.0504597097	0.050177843	0.0498771065	0.0495576132	0.0492194833	0.048862844	0.0484878293	0.0480945804	-0.0362090697	-0.0744962189	-0.0015252799	0.0079705431	-0.00864652	-0.0082417822	-0.0589555421	-0.0131483015	-0.0259953265	0.0331388878	0	0	0	0
-0.00822399	-0.0756454	-0.233561	-0.00125304	-0.000478444	-0.00124827	-0.04091529	-0.0542886	0.024654	-0.00100294	6.1653e-05	-0.00019703	0.18293904	0.0523635681	0.0523194405	0.0522459219	0.0521430537	0.0520108938	0.0518495163	0.0516590118	0.0514394875	0.0511910666	0.0509138886	0.0506081094	0.0502739006	0.04991145	0.0495209612	0.0491026536	0.0486567622	0.0481835374	0.0476832451	0.0471561663	0.0466025972	0.0460228486	-0.0340619855	-0.066402145	0.0233290484	0.0149917698	-0.0196587765	-0.026979023	-0.0739682375	0.0350977662	-0.0165701265	-0.0215389639	0	0	0	0
-0.00451274	-0.0601431	-0.186053	-0.00186867	-0.00108124	-0.000807062	0.00371125	0.0155023	0.047508	-0.00061563	-0.000602796	0.000441208	0.14970325	0.0523577323	0.0522961052	0.0521934471	0.0520498384	0.051865392	0.0516402525	0.0513745965	0.0510686325	0.0507226006	0.0503367722	0.04991145	0.0494469678	0.04894369	0.0484020114	0.0478223571	0.0472051818	0.0465509697	0.0458602343	0.0451335173	0.044371389	0.0435744473	-0.0129566228	-0.0776203907	-0.05768636	0.0354197036	-0.0878829229	-0.0698264188	-0.0498322352	0.0282594469	0.0261651957	0.0344227363	0	0	0	0
-0.00262498	-0.0510423	-0.214279	-0.00206999	-0.000364611	-0.000674418	0.00188776	0.00910080000000001	-0.028226	-0.00020132	0.000716629	0.000132644	0.09174421	0.0523509242	0.0522688852	0.0521322486	0.0519411573	0.0516958108	0.0513964655	0.051043434	0.050637085	0.050177843	0.0496661877	0.0491026536	0.0484878293	0.0478223571	0.0471069319	0.0463423012	0.0455292636	0.0446686685	0.0437614146	0.0428084497	0.0418107693	0.0407694154	0.0394499577	-0.1072998712	-0.0200282865	0.0063847621	-0.0294911427	-0.0989776594	-0.0323251044	-0.0209030819	-0.0448522852	0.0083933176	0	0	0	0
-0.0118682	-0.0793734	-0.221428	-0.00206999	-0.000590564	-0.00100397	-0.00924322	-0.0283311	-0.00714900000000002	0	-0.000225953	-0.000329552	0.07249857	0.0523431439	0.0522377823	0.0520623368	0.0518170426	0.051502229	0.0511183183	0.0506658255	0.0501453577	0.0495576132	0.0489033805	0.0481835374	0.0473990497	0.0465509697	0.0456404355	0.0446686685	0.0436369724	0.0425467316	0.0413994086	0.0401965428	0.0389397479	0.0376307102	0.0478410028	-0.110406014	0.0360756671	0.0036462735	-0.0028741107	-0.1108887461	-0.0499419413	0.0094101985	-0.0245958797	-0.0434287848	0	0	0	0
-0.0236853	-0.040802	-0.190419	-0.00185845	-0.000358499	-0.000347483	-0.0118171	0.0385714	0.031009	0.00021154	0.000232065	0.000656487	0.1364021	0.0523343914	0.0522027989	0.0519837232	0.0516775313	0.0512847364	0.0508059967	0.0502421146	0.049594035	0.048862844	0.0480497669	0.0471561663	0.0461835398	0.0451335173	0.0440078585	0.0428084497	0.0415373011	0.0401965428	0.0387884217	0.0373152977	0.0357796393	0.0341840202	0.0549242788	-0.0927917882	0.0177552409	0.0043597059	0.0112353108	-0.1125435334	-0.0299074932	0.0105596531	0.0011469997	0.0091022114	0	0	0	0
